code,name,sector
001213,中铁特货,工业
001221,悍高集团,可选消费
001286,陕西能源,能源
001389,广合科技,信息技术
001391,国货航,工业
001696,宗申动力,工业
001965,招商公路,工业
001979,招商蛇口,房地产
002001,新和成,医药卫生
002007,华兰生物,医药卫生
002008,大族激光,信息技术
002025,航天电器,工业
002027,分众传媒,通信服务
002028,思源电气,工业
002032,苏泊尔,可选消费
002044,美年健康,医药卫生
002049,紫光国微,信息技术
002050,三花智控,工业
002056,横店东磁,信息技术
002064,华峰化学,原材料
002065,东华软件,信息技术
002074,国轩高科,工业
002078,太阳纸业,原材料
002080,中材科技,原材料
002085,万丰奥威,工业
002120,韵达股份,工业
002126,银轮股份,工业
002128,电投能源,能源
002130,沃尔核材,工业
002131,利欧股份,通信服务
002138,顺络电子,信息技术
002142,宁波银行,金融
002152,广电运通,信息技术
002153,石基信息,信息技术
002155,湖南黄金,原材料
002156,通富微电,信息技术
002157,正邦科技,主要消费
002179,中航光电,工业
002185,华天科技,信息技术
002195,岩山科技,信息技术
002202,金风科技,工业
002203,海亮股份,原材料
002223,鱼跃医疗,医药卫生
002230,科大讯飞,信息技术
002236,大华股份,信息技术
002241,歌尔股份,信息技术
002244,滨江集团,房地产
002252,上海莱士,医药卫生
002261,拓维信息,信息技术
002262,恩华药业,医药卫生
002265,建设工业,工业
002266,浙富控股,工业
002271,东方雨虹,原材料
002273,水晶光电,信息技术
002281,光迅科技,信息技术
002294,信立泰,医药卫生
002299,圣农发展,主要消费
002304,洋河股份,主要消费
002311,海大集团,主要消费
002312,川发龙蟒,原材料
002318,久立特材,原材料
002335,科华数据,信息技术
002340,格林美,原材料
002352,顺丰控股,工业
002353,杰瑞股份,工业
002371,北方华创,信息技术
002372,伟星新材,原材料
002384,东山精密,信息技术
002385,大北农,主要消费
002402,和而泰,信息技术
002409,雅克科技,原材料
002410,广联达,信息技术
002414,高德红外,工业
002415,海康威视,信息技术
002422,科伦药业,医药卫生
002423,中粮资本,金融
002429,兆驰股份,信息技术
002430,杭氧股份,工业
002432,九安医疗,医药卫生
002436,兴森科技,信息技术
002439,启明星辰,信息技术
002444,巨星科技,工业
002459,晶澳科技,工业
002460,赣锋锂业,原材料
002461,珠江啤酒,主要消费
002463,沪电股份,信息技术
002465,海格通信,通信服务
002466,天齐锂业,原材料
002472,双环传动,工业
002475,立讯精密,信息技术
002493,荣盛石化,原材料
002500,山西证券,金融
002508,老板电器,可选消费
002517,恺英网络,通信服务
002532,天山铝业,原材料
002558,巨人网络,通信服务
002568,百润股份,主要消费
002583,海能达,通信服务
002594,比亚迪,可选消费
002595,豪迈科技,工业
002600,领益智造,信息技术
002601,龙佰集团,原材料
002603,以岭药业,医药卫生
002607,中公教育,可选消费
002608,江苏国信,公用事业
002624,完美世界,通信服务
002625,光启技术,工业
002648,卫星化学,原材料
002670,国盛证券,金融
002673,西部证券,金融
002683,广东宏大,原材料
002709,天赐材料,原材料
002714,牧原股份,主要消费
002736,国信证券,金融
002738,中矿资源,原材料
002739,万达电影,通信服务
002756,永兴材料,原材料
002773,康弘药业,医药卫生
002797,第一创业,金融
002821,凯莱英,医药卫生
002831,裕同科技,工业
002837,英维克,工业
002841,视源股份,信息技术
002850,科达利,工业
002851,麦格米特,工业
002916,深南电路,信息技术
002920,德赛西威,信息技术
002926,华西证券,金融
002938,鹏鼎控股,信息技术
002939,长城证券,金融
002945,华林证券,金融
002958,青农商行,金融
002966,苏州银行,金融
002984,森麒麟,工业
003021,兆威机电,工业
003022,联泓新科,原材料
003031,中瓷电子,信息技术
003035,南网能源,公用事业
003816,中国广核,公用事业
300001,特锐德,工业
300002,神州泰岳,信息技术
300003,乐普医疗,医药卫生
300012,华测检测,工业
300014,亿纬锂能,工业
300015,爱尔眼科,医药卫生
300017,网宿科技,信息技术
300024,机器人,工业
300033,同花顺,信息技术
300037,新宙邦,原材料
300054,鼎龙股份,原材料
300058,蓝色光标,通信服务
300059,东方财富,金融
300070,碧水源,工业
300073,当升科技,原材料
300100,双林股份,工业
300115,长盈精密,工业
300122,智飞生物,医药卫生
300124,汇川技术,工业
300136,信维通信,信息技术
300140,节能环境,工业
300142,沃森生物,医药卫生
300144,宋城演艺,可选消费
300146,汤臣倍健,主要消费
300207,欣旺达,工业
300223,北京君正,信息技术
300251,光线传媒,通信服务
300274,阳光电源,工业
300285,国瓷材料,原材料
300308,中际旭创,信息技术
300316,晶盛机电,工业
300339,润和软件,信息技术
300346,南大光电,信息技术
300347,泰格医药,医药卫生
300373,扬杰科技,信息技术
300383,光环新网,信息技术
300390,天华新能,原材料
300394,天孚通信,信息技术
300395,菲利华,原材料
300408,三环集团,信息技术
300413,芒果超媒,通信服务
300418,昆仑万维,通信服务
300432,富临精工,工业
300433,蓝思科技,信息技术
300442,润泽科技,信息技术
300450,先导智能,工业
300454,深信服,信息技术
300458,全志科技,信息技术
300474,景嘉微,信息技术
300476,胜宏科技,信息技术
300487,蓝晓科技,原材料
300496,中科创达,信息技术
300498,温氏股份,主要消费
300502,新易盛,信息技术
300529,健帆生物,医药卫生
300558,贝达药业,医药卫生
300567,精测电子,信息技术
300570,太辰光,信息技术
300601,康泰生物,医药卫生
300604,长川科技,信息技术
300623,捷捷微电,信息技术
300627,华测导航,信息技术
300628,亿联网络,信息技术
300661,圣邦股份,信息技术
300676,华大基因,医药卫生
300677,英科医疗,医药卫生
300679,电连技术,信息技术
300699,光威复材,原材料
300718,长盛轴承,工业
300724,捷佳伟创,工业
300735,光弘科技,信息技术
300748,金力永磁,原材料
300750,宁德时代,工业
300751,迈为股份,工业
300757,罗博特科,工业
300759,康龙化成,医药卫生
300760,迈瑞医疗,医药卫生
300763,锦浪科技,工业
300782,卓胜微,信息技术
300803,指南针,信息技术
300832,新产业,医药卫生
300857,协创数据,信息技术
300866,安克创新,可选消费
300888,稳健医疗,医药卫生
300896,爱美客,医药卫生
300919,中伟新材,原材料
300957,贝泰妮,主要消费
300972,万辰集团,主要消费
300979,华利集团,可选消费
300999,金龙鱼,主要消费
301200,大族数控,信息技术
301236,软通动力,信息技术
301269,华大九天,信息技术
301301,川宁生物,医药卫生
301308,江波龙,信息技术
301358,湖南裕能,原材料
301498,乖宝宠物,主要消费
301536,星宸科技,信息技术
301611,珂玛科技,信息技术
302132,中航成飞,工业
600000,浦发银行,金融
600004,白云机场,工业
600007,中国国贸,房地产
600008,首创环保,工业
600009,上海机场,工业
600010,包钢股份,原材料
600011,华能国际,公用事业
600015,华夏银行,金融
600016,民生银行,金融
600018,上港集团,工业
600019,宝钢股份,原材料
600021,上海电力,公用事业
600023,浙能电力,公用事业
600025,华能水电,公用事业
600026,中远海能,工业
600027,华电国际,公用事业
600028,中国石化,能源
600029,南方航空,工业
600030,中信证券,金融
600031,三一重工,工业
600032,浙江新能,公用事业
600036,招商银行,金融
600038,中直股份,工业
600039,四川路桥,工业
600048,保利发展,房地产
600050,中国联通,通信服务
600060,海信视像,可选消费
600061,国投资本,金融
600062,华润双鹤,医药卫生
600066,宇通客车,可选消费
600085,同仁堂,医药卫生
600089,特变电工,工业
600095,湘财股份,金融
600096,云天化,原材料
600098,广州发展,公用事业
600104,上汽集团,可选消费
600109,国金证券,金融
600111,北方稀土,原材料
600115,中国东航,工业
600118,中国卫星,工业
600126,杭钢股份,原材料
600131,国网信通,信息技术
600132,重庆啤酒,主要消费
600141,兴发集团,原材料
600143,金发科技,原材料
600150,中国船舶,工业
600153,建发股份,工业
600157,永泰能源,能源
600160,巨化股份,原材料
600161,天坛生物,医药卫生
600166,福田汽车,工业
600170,上海建工,工业
600171,上海贝岭,信息技术
600176,中国巨石,原材料
600177,雅戈尔,可选消费
600183,生益科技,信息技术
600188,兖矿能源,能源
600196,复星医药,医药卫生
600208,衢州发展,房地产
600219,南山铝业,原材料
600233,圆通速递,工业
600276,恒瑞医药,医药卫生
600282,南钢股份,原材料
600295,鄂尔多斯,原材料
600298,安琪酵母,主要消费
600299,安迪苏,原材料
600309,万华化学,原材料
600312,平高电气,工业
600316,洪都航空,工业
600329,达仁堂,医药卫生
600332,白云山,医药卫生
600339,中油工程,工业
600346,恒力石化,原材料
600348,华阳股份,能源
600352,浙江龙盛,原材料
600362,江西铜业,原材料
600363,联创光电,信息技术
600369,西南证券,金融
600372,中航机载,工业
600377,宁沪高速,工业
600378,昊华科技,原材料
600380,健康元,医药卫生
600390,五矿资本,金融
600392,盛和资源,原材料
600398,海澜之家,可选消费
600406,国电南瑞,工业
600415,小商品城,可选消费
600426,华鲁恒升,原材料
600435,北方导航,工业
600436,片仔癀,医药卫生
600438,通威股份,主要消费
600460,士兰微,信息技术
600482,中国动力,工业
600483,福能股份,公用事业
600486,扬农化工,原材料
600487,亨通光电,信息技术
600489,中金黄金,原材料
600497,驰宏锌锗,原材料
600498,烽火通信,信息技术
600499,科达制造,工业
600511,国药股份,医药卫生
600515,海南机场,房地产
600516,方大炭素,原材料
600517,国网英大,金融
600519,贵州茅台,主要消费
600521,华海药业,医药卫生
600522,中天科技,信息技术
600528,中铁工业,工业
600535,天士力,医药卫生
600536,中国软件,信息技术
600546,山煤国际,能源
600547,山东黄金,原材料
600549,厦门钨业,原材料
600562,国睿科技,信息技术
600563,法拉电子,信息技术
600566,济川药业,医药卫生
600570,恒生电子,信息技术
600578,京能电力,公用事业
600580,卧龙电驱,工业
600582,天地科技,工业
600583,海油工程,能源
600584,长电科技,信息技术
600585,海螺水泥,原材料
600588,用友网络,信息技术
600598,北大荒,主要消费
600600,青岛啤酒,主要消费
600601,方正科技,信息技术
600602,云赛智联,信息技术
600606,绿地控股,房地产
600637,东方明珠,通信服务
600642,申能股份,公用事业
600655,豫园股份,可选消费
600660,福耀玻璃,工业
600663,陆家嘴,房地产
600673,东阳光,原材料
600674,川投能源,公用事业
600685,中船防务,工业
600688,上海石化,能源
600690,海尔智家,可选消费
600699,均胜电子,工业
600704,物产中大,工业
600707,彩虹股份,信息技术
600720,中交设计,工业
600737,中粮糖业,主要消费
600739,辽宁成大,工业
600741,华域汽车,工业
600754,锦江酒店,可选消费
600760,中航沈飞,工业
600763,通策医疗,医药卫生
600764,中国海防,工业
600765,中航重机,工业
600795,国电电力,公用事业
600801,华新建材,原材料
600803,新奥股份,公用事业
600808,马钢股份,原材料
600809,山西汾酒,主要消费
600816,建元信托,金融
600820,隧道股份,工业
600845,宝信软件,信息技术
600848,上海临港,房地产
600862,中航高科,工业
600863,内蒙华电,公用事业
600871,石化油服,能源
600873,梅花生物,主要消费
600875,东方电气,工业
600879,航天电子,工业
600884,杉杉股份,工业
600885,宏发股份,信息技术
600886,国投电力,公用事业
600887,伊利股份,主要消费
600893,航发动力,工业
600900,长江电力,公用事业
600901,江苏金租,金融
600905,三峡能源,公用事业
600906,财达证券,金融
600909,华安证券,金融
600918,中泰证券,金融
600919,江苏银行,金融
600926,杭州银行,金融
600927,永安期货,金融
600930,华电新能,公用事业
600938,中国海油,能源
600941,中国移动,通信服务
600958,东方证券,金融
600959,江苏有线,通信服务
600967,内蒙一机,工业
600968,海油发展,能源
600970,中材国际,工业
600977,中国电影,通信服务
600985,淮北矿业,能源
600988,赤峰黄金,原材料
600989,宝丰能源,原材料
600995,南网储能,公用事业
600998,九州通,医药卫生
600999,招商证券,金融
601000,唐山港,工业
601001,晋控煤业,能源
601006,大秦铁路,工业
601009,南京银行,金融
601012,隆基绿能,工业
601016,节能风电,公用事业
601018,宁波港,工业
601019,山东出版,通信服务
601021,春秋航空,工业
601058,赛轮轮胎,工业
601059,信达证券,金融
601061,中信金属,原材料
601066,中信建投,金融
601077,渝农商行,金融
601088,中国神华,能源
601098,中南传媒,通信服务
601099,太平洋,金融
601100,恒立液压,工业
601106,中国一重,工业
601108,财通证券,金融
601111,中国国航,工业
601117,中国化学,工业
601118,海南橡胶,主要消费
601127,赛力斯,可选消费
601128,常熟银行,金融
601136,首创证券,金融
601138,工业富联,信息技术
601139,深圳燃气,公用事业
601155,新城控股,房地产
601156,东航物流,工业
601162,天风证券,金融
601166,兴业银行,金融
601168,西部矿业,原材料
601169,北京银行,金融
601179,中国西电,工业
601186,中国铁建,工业
601198,东兴证券,金融
601211,国泰海通,金融
601212,白银有色,原材料
601216,君正集团,原材料
601225,陕西煤业,能源
601228,广州港,工业
601229,上海银行,金融
601231,环旭电子,信息技术
601233,桐昆股份,原材料
601236,红塔证券,金融
601238,广汽集团,可选消费
601288,农业银行,金融
601298,青岛港,工业
601318,中国平安,金融
601319,中国人保,金融
601328,交通银行,金融
601333,广深铁路,工业
601336,新华保险,金融
601360,三六零,信息技术
601377,兴业证券,金融
601390,中国中铁,工业
601398,工商银行,金融
601399,国机重装,工业
601456,国联民生,金融
601555,东吴证券,金融
601567,三星医疗,医药卫生
601577,长沙银行,金融
601598,中国外运,工业
601600,中国铝业,原材料
601601,中国太保,金融
601607,上海医药,医药卫生
601608,中信重工,工业
601611,中国核建,工业
601615,明阳智能,工业
601618,中国中冶,工业
601628,中国人寿,金融
601633,长城汽车,可选消费
601658,邮储银行,金融
601665,齐鲁银行,金融
601666,平煤股份,能源
601668,中国建筑,工业
601669,中国电建,工业
601688,华泰证券,金融
601689,拓普集团,工业
601696,中银证券,金融
601698,中国卫通,通信服务
601699,潞安环能,能源
601717,中创智领,信息技术
601728,中国电信,通信服务
601766,中国中车,工业
601788,光大证券,金融
601799,星宇股份,工业
601800,中国交建,工业
601808,中海油服,能源
601816,京沪高铁,工业
601818,光大银行,金融
601825,沪农商行,金融
601838,成都银行,金融
601857,中国石油,能源
601865,福莱特,原材料
601866,中远海发,工业
601868,中国能建,工业
601872,招商轮船,工业
601877,正泰电器,工业
601878,浙商证券,金融
601880,辽港股份,工业
601881,中国银河,金融
601888,中国中免,可选消费
601898,中煤能源,能源
601899,紫金矿业,原材料
601901,方正证券,金融
601916,浙商银行,金融
601918,新集能源,能源
601919,中远海控,工业
601921,浙版传媒,通信服务
601928,凤凰传媒,通信服务
601939,建设银行,金融
601958,金钼股份,原材料
601965,中国汽研,工业
601966,玲珑轮胎,工业
601985,中国核电,公用事业
601988,中国银行,金融
601990,南京证券,金融
601991,大唐发电,公用事业
601995,中金公司,金融
601997,贵阳银行,金融
601998,中信银行,金融
603000,人民网,通信服务
603019,中科曙光,信息技术
603049,中策橡胶,原材料
603077,和邦生物,原材料
603087,甘李药业,医药卫生
603129,春风动力,可选消费
603156,养元饮品,主要消费
603160,汇顶科技,信息技术
603179,新泉股份,工业
603195,公牛集团,可选消费
603225,新凤鸣,原材料
603228,景旺电子,信息技术
603233,大参林,医药卫生
603259,药明康德,医药卫生
603260,合盛硅业,原材料
603288,海天味业,主要消费
603290,斯达半导,信息技术
603296,华勤技术,信息技术
603298,杭叉集团,工业
603338,浙江鼎力,工业
603341,龙旗科技,信息技术
603345,安井食品,主要消费
603369,今世缘,主要消费
603379,三美股份,原材料
603392,万泰生物,医药卫生
603444,吉比特,通信服务
603486,科沃斯,可选消费
603501,豪威集团,信息技术
603529,爱玛科技,可选消费
603565,中谷物流,工业
603568,伟明环保,工业
603589,口子窖,主要消费
603596,伯特利,工业
603605,珀莱雅,主要消费
603606,东方电缆,工业
603650,彤程新材,原材料
603658,安图生物,医药卫生
603659,璞泰来,工业
603688,石英股份,原材料
603699,纽威股份,工业
603707,健友股份,医药卫生
603728,鸣志电器,工业
603737,三棵树,原材料
603766,隆鑫通用,工业
603786,科博达,工业
603799,华友钴业,原材料
603806,福斯特,工业
603816,顾家家居,可选消费
603833,欧派家居,可选消费
603858,步长制药,医药卫生
603885,吉祥航空,工业
603893,瑞芯微,信息技术
603899,晨光股份,可选消费
603920,世运电路,信息技术
603927,中科软,信息技术
603939,益丰药房,医药卫生
603979,金诚信,原材料
603986,兆易创新,信息技术
603993,洛阳钼业,原材料
605117,德业股份,工业
605358,立昂微,信息技术
605499,东鹏饮料,主要消费
605589,圣泉集团,原材料
688002,睿创微纳,信息技术
688008,澜起科技,信息技术
688009,中国通号,工业
688012,中微公司,信息技术
688017,绿的谐波,工业
688018,乐鑫科技,信息技术
688019,安集科技,信息技术
688027,国盾量子,信息技术
688036,传音控股,可选消费
688037,芯源微,信息技术
688041,海光信息,信息技术
688047,龙芯中科,信息技术
688052,纳芯微,信息技术
688065,凯赛生物,原材料
688082,盛美上海,信息技术
688099,晶晨股份,信息技术
688100,威胜信息,信息技术
688111,金山办公,信息技术
688114,华大智造,医药卫生
688120,华海清科,信息技术
688122,西部超导,原材料
688126,沪硅产业,信息技术
688166,博瑞医药,医药卫生
688169,石头科技,可选消费
688172,燕东微,信息技术
688180,君实生物,医药卫生
688183,生益电子,信息技术
688187,时代电气,工业
688188,柏楚电子,信息技术
688192,迪哲医药,医药卫生
688213,思特威,信息技术
688220,翱捷科技,信息技术
688223,晶科能源,工业
688234,天岳先进,信息技术
688235,百济神州,医药卫生
688248,南网科技,工业
688256,寒武纪,信息技术
688266,泽璟制药,医药卫生
688271,联影医疗,医药卫生
688278,特宝生物,医药卫生
688281,华秦科技,原材料
688295,中复神鹰,原材料
688297,中无人机,工业
688301,奕瑞科技,信息技术
688303,大全能源,原材料
688318,财富趋势,信息技术
688322,奥比中光,信息技术
688336,三生国健,医药卫生
688347,华虹公司,信息技术
688349,三一重能,工业
688361,中科飞测,信息技术
688363,华熙生物,医药卫生
688375,国博电子,信息技术
688385,复旦微电,信息技术
688387,信科移动,通信服务
688396,华润微,信息技术
688425,铁建重工,工业
688469,芯联集成,信息技术
688472,阿特斯,工业
688475,萤石网络,可选消费
688506,百利天恒,医药卫生
688520,神州细胞,医药卫生
688525,佰维存储,信息技术
688538,和辉光电,信息技术
688561,奇安信,信息技术
688563,航材股份,工业
688568,中科星图,信息技术
688578,艾力斯,医药卫生
688582,芯动联科,信息技术
688599,天合光能,工业
688608,恒玄科技,信息技术
688615,合合信息,信息技术
688617,惠泰医疗,医药卫生
688629,华丰科技,信息技术
688676,金盘科技,工业
688692,达梦数据,信息技术
688702,盛科通信,信息技术
688709,成都华微,信息技术
688728,格科微,信息技术
688772,珠海冠宇,工业
688777,中控技术,信息技术
688778,厦钨新能,原材料
688819,天能股份,工业
688981,中芯国际,信息技术
689009,九号公司,可选消费
000012,南  玻A,原材料
000019,深粮控股,主要消费
000028,国药一致,医药卫生
000029,深深房A,房地产
000030,富奥股份,工业
000035,中国天楹,工业
000048,京基智农,主要消费
000049,德赛电池,工业
000058,深赛格,可选消费
000059,华锦股份,原材料
000061,农 产 品,主要消费
000065,北方国际,工业
000089,深圳机场,工业
000099,中信海直,工业
000156,华数传媒,通信服务
000403,派林生物,医药卫生
000420,吉林化纤,原材料
000422,湖北宜化,原材料
000498,山东路桥,工业
000503,国新健康,信息技术
000543,皖能电力,公用事业
000550,江铃汽车,可选消费
000552,甘肃能化,能源
000555,神州信息,信息技术
000557,西部创业,工业
000567,海德股份,金融
000581,威孚高科,工业
000589,贵州轮胎,工业
000597,东北制药,医药卫生
000600,建投能源,公用事业
000603,盛达资源,原材料
000612,焦作万方,原材料
000620,盈新发展,房地产
000628,高新发展,房地产
000636,风华高科,信息技术
000650,仁和药业,医药卫生
000672,上峰水泥,原材料
000676,智度股份,信息技术
000680,山推股份,工业
000681,视觉中国,通信服务
000682,东方电子,信息技术
000685,中山公用,公用事业
000686,东北证券,金融
000688,国城矿业,原材料
000690,宝新能源,公用事业
000712,锦龙股份,金融
000719,中原传媒,通信服务
000727,冠捷科技,信息技术
000737,北方铜业,原材料
000756,新华制药,医药卫生
000758,中色股份,原材料
000761,本钢板材,原材料
000762,西藏矿业,原材料
000766,通化金马,医药卫生
000767,晋控电力,公用事业
000778,新兴铸管,原材料
000791,甘肃能源,公用事业
000795,英洛华,原材料
000801,四川九洲,工业
000810,创维数字,可选消费
000811,冰轮环境,工业
000813,德展健康,医药卫生
000828,东莞控股,工业
000829,天音控股,可选消费
000833,粤桂股份,原材料
000837,秦川机床,工业
000848,承德露露,主要消费
000860,顺鑫农业,主要消费
000875,吉电股份,公用事业
000880,潍柴重机,工业
000885,城发环境,工业
000899,赣能股份,公用事业
000901,航天科技,工业
000902,新洋丰,原材料
000913,钱江摩托,可选消费
000917,电广传媒,通信服务
000923,河钢资源,原材料
000927,中国铁物,工业
000928,中钢国际,工业
000930,中粮科技,主要消费
000935,四川双马,原材料
000950,重药控股,医药卫生
000966,长源电力,公用事业
000969,安泰科技,原材料
000970,中科三环,工业
000990,诚志股份,原材料
001203,大中矿业,原材料
001227,兰州银行,金融
001236,弘业期货,金融
001287,中电港,信息技术
001301,尚太科技,原材料
001308,康冠科技,可选消费
001309,德明利,信息技术
001337,四川黄金,原材料
001339,智微智能,信息技术
001356,富岭股份,原材料
001914,招商积余,房地产
002003,伟星股份,可选消费
002004,华邦健康,医药卫生
002006,精工科技,工业
002010,传化智联,工业
002011,盾安环境,工业
002015,协鑫能科,公用事业
002017,东信和平,信息技术
002019,亿帆医药,医药卫生
002020,京新药业,医药卫生
002023,海特高新,工业
002036,联创电子,信息技术
002038,双鹭药业,医药卫生
002041,登海种业,主要消费
002043,兔宝宝,原材料
002045,国光电器,信息技术
002046,国机精工,工业
002048,宁波华翔,工业
002051,中工国际,工业
002053,云南能投,公用事业
002060,广东建工,工业
002061,浙江交科,工业
002063,远光软件,信息技术
002068,黑猫股份,原材料
002073,软控股份,工业
002075,沙钢股份,原材料
002077,大港股份,房地产
002079,苏州固锝,信息技术
002081,金螳螂,工业
002091,江苏国泰,工业
002093,国脉科技,通信服务
002096,易普力,原材料
002097,山河智能,工业
002099,海翔药业,医药卫生
002100,天康生物,主要消费
002101,广东鸿图,工业
002104,恒宝股份,信息技术
002110,三钢闽光,原材料
002123,梦网科技,通信服务
002125,湘潭电化,原材料
002127,南极电商,可选消费
002139,拓邦股份,工业
002145,钛能化学,原材料
002149,西部材料,原材料
002151,北斗星通,通信服务
002158,汉钟精机,工业
002163,海南发展,工业
002170,芭田股份,原材料
002171,楚江新材,原材料
002174,游族网络,通信服务
002176,江特电机,工业
002182,宝武镁业,原材料
002183,怡亚通,工业
002192,融捷股份,原材料
002194,武汉凡谷,信息技术
002204,大连重工,工业
002212,天融信,信息技术
002215,诺普信,原材料
002216,三全食品,主要消费
002219,新里程,医药卫生
002221,东华能源,原材料
002222,福晶科技,信息技术
002226,江南化工,原材料
002233,塔牌集团,原材料
002237,恒邦股份,原材料
002239,奥特佳,工业
002242,九阳股份,可选消费
002243,力合科创,工业
002245,蔚蓝锂芯,工业
002249,大洋电机,工业
002251,步步高,可选消费
002254,泰和新材,原材料
002258,利尔化学,原材料
002267,陕天然气,公用事业
002268,电科网安,信息技术
002270,华明装备,工业
002275,桂林三金,医药卫生
002276,万马股份,工业
002287,奇正藏药,医药卫生
002292,奥飞娱乐,可选消费
002302,西部建设,原材料
002315,焦点科技,可选消费
002317,众生药业,医药卫生
002320,海峡股份,工业
002324,普利特,原材料
002326,永太科技,原材料
002332,仙琚制药,医药卫生
002338,奥普光电,信息技术
002345,潮宏基,可选消费
002351,漫步者,可选消费
002354,天娱数科,通信服务
002364,中恒电气,工业
002368,太极股份,信息技术
002373,千方科技,信息技术
002378,章源钨业,原材料
002389,航天彩虹,工业
002390,信邦制药,医药卫生
002396,星网锐捷,信息技术
002399,海普瑞,医药卫生
002400,省广集团,通信服务
002405,四维图新,信息技术
002408,齐翔腾达,原材料
002416,爱施德,可选消费
002421,达实智能,信息技术
002428,云南锗业,原材料
002434,万里扬,工业
002456,欧菲光,信息技术
002458,益生股份,主要消费
002468,申通快递,工业
002484,江海股份,信息技术
002487,大金重工,工业
002488,金固股份,工业
002489,浙江永强,可选消费
002497,雅化集团,原材料
002498,汉缆股份,工业
002506,协鑫集成,工业
002507,涪陵榨菜,主要消费
002511,中顺洁柔,主要消费
002516,旷达科技,可选消费
002518,科士达,工业
002531,天顺风能,工业
002534,西子洁能,工业
002536,飞龙股份,工业
002537,海联金汇,工业
002539,云图控股,原材料
002541,鸿路钢构,工业
002543,万和电气,可选消费
002544,普天科技,信息技术
002545,东方铁塔,原材料
002550,千红制药,医药卫生
002557,洽洽食品,主要消费
002563,森马服饰,可选消费
002572,索菲亚,可选消费
002588,史丹利,原材料
002597,金禾实业,主要消费
002605,姚记科技,通信服务
002611,东方精工,工业
002612,朗姿股份,可选消费
002617,露笑科技,工业
002626,金达威,主要消费
002635,安洁科技,信息技术
002643,万润股份,原材料
002649,博彦科技,信息技术
002651,利君股份,工业
002654,万润科技,信息技术
002668,TCL智家,可选消费
002675,东诚药业,医药卫生
002681,奋达科技,可选消费
002690,美亚光电,工业
002697,红旗连锁,主要消费
002698,博实股份,工业
002701,奥瑞金,工业
002705,新宝股份,可选消费
002706,良信股份,工业
002716,湖南白银,原材料
002727,一心堂,医药卫生
002737,葵花药业,医药卫生
002745,木林森,信息技术
002747,埃斯顿,工业
002755,奥赛康,医药卫生
002761,浙江建投,工业
002777,久远银海,信息技术
002779,中坚科技,工业
002791,坚朗五金,工业
002807,江阴银行,金融
002815,崇达技术,信息技术
002832,比音勒芬,可选消费
002839,张家港行,金融
002840,华统股份,主要消费
002847,盐津铺子,主要消费
002859,洁美科技,信息技术
002867,周大生,可选消费
002881,美格智能,信息技术
002882,金龙羽,工业
002891,中宠股份,主要消费
002892,科力尔,工业
002895,川恒股份,原材料
002896,中大力德,工业
002897,意华股份,信息技术
